moa	dose	assay	avg_precision	no_of_compounds_per_moa	median_replicate_correlation	p_value_percent_matching
atp channel blocker	1.11 uM	Cell Painting	0.005224330718825009	3	0.0036123245250422307	0.511
atp channel blocker	3.33 uM	Cell Painting	0.016206005270851767	3	0.0141452179291169	0.384
atp channel blocker	10 uM	Cell Painting	0.0034565602151663106	3	0.006994234075790476	0.577
atp channel blocker	All	Cell Painting	0.0029570391705318827	18	0.0069819565364066406	0.327
atp channel blocker	0.04 uM	L1000	0.002101618411307313	3	0.03442879096807153	0.37
atp channel blocker	0.12 uM	L1000	0.002661810476229207	3	0.03756488866287533	0.328
atp channel blocker	0.37 uM	L1000	0.0036212780035868404	3	0.09114480160349009	0.127
atp channel blocker	1.11 uM	L1000	0.002313602525020659	3	0.1054798238264771	0.083
atp channel blocker	3.33 uM	L1000	0.005263046084601462	3	0.11850022313083486	0.057
atp channel blocker	10 uM	L1000	0.002622468409208932	3	0.06968470312620083	0.189
atp channel blocker	All	L1000	0.0018259039460852401	18	0.043354706302046714	0.002
atpase inhibitor	0.04 uM	Cell Painting	0.0030137074502655193	3	-0.016961038081374096	0.794
atpase inhibitor	0.12 uM	Cell Painting	0.0042433207817823195	3	-0.019006712526523337	0.82
atpase inhibitor	0.37 uM	Cell Painting	0.011956040047628333	3	0.013349799112704668	0.398
atpase inhibitor	1.11 uM	Cell Painting	0.004166773397841694	3	-0.0020185807673447453	0.603
atpase inhibitor	3.33 uM	Cell Painting	0.0024542390077787824	3	-0.0022050476901310997	0.601
atpase inhibitor	10 uM	Cell Painting	0.00321814881430633	3	-0.005679608326737542	0.731
atpase inhibitor	All	Cell Painting	0.0025499258809060046	18	0.001021073193468818	0.974
atpase inhibitor	0.04 uM	L1000	0.004358387882998904	3	-0.010243564100703399	0.65
atpase inhibitor	0.12 uM	L1000	0.0031214333581440733	3	0.024422958091249905	0.415
atpase inhibitor	0.37 uM	L1000	0.002843714742185959	3	-0.0663813275935652	0.908
atpase inhibitor	1.11 uM	L1000	0.010212004064750441	3	0.032966020097411404	0.379
atpase inhibitor	3.33 uM	L1000	0.005264139844762466	3	0.03699523996408117	0.32
atpase inhibitor	10 uM	L1000	0.007302341056074876	3	0.019841602398167697	0.493
atpase inhibitor	All	L1000	0.002915502531953313	18	0.02599918015279852	0.302
aurora kinase inhibitor	All	Cell Painting	0.3014982838151195	12	0.5290879353243605	0
aurora kinase inhibitor	All	L1000	0.006134838729020705	12	0.21867196985064535	0
bacterial 30s ribosomal subunit inhibitor	0.04 uM	Cell Painting	0.00453408851188798	5	-0.016825354842652844	0.94
bacterial 30s ribosomal subunit inhibitor	0.12 uM	Cell Painting	0.003824909327736975	5	-0.01454523414461522	0.898
bacterial 30s ribosomal subunit inhibitor	0.37 uM	Cell Painting	0.0060825329991674735	5	-0.004841677539663375	0.76
bacterial 30s ribosomal subunit inhibitor	1.11 uM	Cell Painting	0.0040826167822625775	5	-0.0060072258476852455	0.773
bacterial 30s ribosomal subunit inhibitor	3.33 uM	Cell Painting	0.005550268165306258	5	0.010244582070125472	0.404
bacterial 30s ribosomal subunit inhibitor	10 uM	Cell Painting	0.00738245812876917	5	0.022206992135046837	0.376
bacterial 30s ribosomal subunit inhibitor	All	Cell Painting	0.004199155241801539	30	0.0010781949436480336	0.998
bacterial 30s ribosomal subunit inhibitor	0.04 uM	L1000	0.011779498185565633	5	0.012782180961460946	0.613
bacterial 30s ribosomal subunit inhibitor	0.12 uM	L1000	0.007396715254079709	5	0.0028731373603143135	0.717
bacterial 30s ribosomal subunit inhibitor	0.37 uM	L1000	0.007796401730729807	5	0.06575595101850996	0.135
bacterial 30s ribosomal subunit inhibitor	1.11 uM	L1000	0.009664794671826493	5	0.017643319556959077	0.552
bacterial 30s ribosomal subunit inhibitor	3.33 uM	L1000	0.004551504372761927	5	0.03752722658842937	0.285
bacterial 30s ribosomal subunit inhibitor	10 uM	L1000	0.008155736213804655	5	0.07500479134710147	0.1
bacterial 30s ribosomal subunit inhibitor	All	L1000	0.005205337748652172	30	0.034164920120718714	0.006
bacterial 50s ribosomal subunit inhibitor	0.04 uM	Cell Painting	0.006624030532977612	5	0.01884359357283811	0.239
bacterial 50s ribosomal subunit inhibitor	0.12 uM	Cell Painting	0.007607945478721425	5	-0.020298779064869918	0.958
bacterial 50s ribosomal subunit inhibitor	0.37 uM	Cell Painting	0.0038750019752500408	5	-0.00954360100420749	0.838
bacterial 50s ribosomal subunit inhibitor	1.11 uM	Cell Painting	0.0037523566347489393	5	0.01540788960886782	0.303
bacterial 50s ribosomal subunit inhibitor	3.33 uM	Cell Painting	0.011643600264881492	5	0.009046288985084337	0.427
bacterial 50s ribosomal subunit inhibitor	10 uM	Cell Painting	0.03002046655705903	5	-0.006487361224977778	0.855
bacterial 50s ribosomal subunit inhibitor	All	Cell Painting	0.003510056577972415	24	0.0028195574100162357	0.957
bacterial 50s ribosomal subunit inhibitor	0.04 uM	L1000	0.008537464003938561	5	0.037527804504596786	0.354
bacterial 50s ribosomal subunit inhibitor	0.12 uM	L1000	0.00422516815042717	5	0.02267963198731035	0.495
bacterial 50s ribosomal subunit inhibitor	0.37 uM	L1000	0.006159687266712254	5	0.06572889292115647	0.135
bacterial 50s ribosomal subunit inhibitor	1.11 uM	L1000	0.004501605337950374	5	0.04377186402152056	0.256
